,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2015-01-01 00:00:00,2158.72268,1689.671471,1221.946014,3524.645408,6324.899689,1146.974714,5877.060519,13507.16347,13287.42001,1182.504879,9500.01047,3586.425471
2015-01-01 01:00:00,2151.750059,1684.213874,1217.999158,3513.26089,6304.470419,1143.270014,5858.077757,13463.53567,13244.50197,1178.685417,9469.325669,3574.841405
2015-01-01 02:00:00,2216.200809,1734.660647,1254.481536,3618.492582,6493.306406,1177.514051,6033.543074,13866.80508,13641.21072,1213.990242,9752.957654,3681.917601
2015-01-01 03:00:00,1985.107061,1553.779371,1123.670809,3241.175233,5816.218613,1054.729088,5404.39698,12420.84768,12218.77711,1087.401734,8735.970597,3297.986625
2015-01-01 04:00:00,1958.249948,1532.75782,1108.468327,3197.324394,5737.529233,1040.459339,5331.279259,12252.80227,12053.46558,1072.689947,8617.77901,3253.367167
2015-01-01 05:00:00,1967.184307,1539.750906,1113.525626,3211.911933,5763.706255,1045.206352,5355.602797,12308.70471,12108.45856,1077.58401,8657.096942,3268.210397
2015-01-01 06:00:00,1978.87536,1548.901705,1120.143351,3231.000449,5797.960183,1051.418054,5387.431351,12381.85582,12180.4196,1083.988133,8708.546403,3287.633497
2015-01-01 07:00:00,2058.159483,1610.958829,1165.022167,3360.451268,6030.256869,1093.543374,5603.2801,12877.93788,12668.43108,1127.418381,9057.456435,3419.353333
2015-01-01 08:00:00,2050.594156,1605.03731,1160.739811,3348.099014,6008.091016,1089.523758,5582.683716,12830.60151,12621.86481,1123.274248,9024.163285,3406.784568
2015-01-01 09:00:00,2053.142711,1607.03211,1162.182421,3352.260155,6015.558093,1090.877858,5589.622082,12846.54786,12637.55172,1124.670295,9035.378848,3411.018646
2015-01-01 10:00:00,2077.046708,1625.742203,1175.71329,3391.289307,6085.595059,1103.578554,5654.700029,12996.11557,12784.68617,1137.764424,9140.574494,3450.731901
2015-01-01 11:00:00,2153.926439,1685.917365,1219.231099,3516.814365,6310.847051,1144.42637,5864.002888,13477.15331,13257.89807,1179.877594,9478.903383,3578.457165
2015-01-01 12:00:00,2152.891813,1685.107545,1218.645449,3515.125084,6307.815674,1143.876652,5861.18615,13470.67964,13251.52972,1179.310847,9474.350249,3576.738275
2015-01-01 13:00:00,2163.173475,1693.155189,1224.465388,3531.912424,6337.940192,1149.339515,5889.177679,13535.01217,13314.81564,1184.942935,9519.597327,3593.819864
2015-01-01 14:00:00,2100.694115,1644.251458,1189.098917,3429.899511,6154.880234,1116.142918,5719.079416,13144.07778,12930.24124,1150.717998,9244.640948,3490.018867
2015-01-01 15:00:00,2200.666427,1722.501604,1245.688292,3593.128885,6447.791802,1169.260308,5991.251165,13769.60619,13545.59314,1205.48082,9684.59464,3656.109328
2015-01-01 16:00:00,2173.188703,1700.99429,1230.134513,3548.264746,6367.284078,1154.660816,5916.44385,13597.67762,13376.46161,1190.429076,9563.671896,3610.458809
2015-01-01 17:00:00,2311.475734,1809.234062,1308.411954,3774.052316,6772.454972,1228.135621,6292.926321,14462.94185,14227.64915,1266.179931,10172.23929,3840.203989
2015-01-01 18:00:00,2595.079747,2031.216076,1468.946142,4237.105579,7603.394003,1378.820391,7065.030103,16237.45685,15973.29516,1421.532506,11420.31118,4311.37366
2015-01-01 19:00:00,2561.500398,2004.93291,1449.938535,4182.279038,7505.008964,1360.978977,6973.611289,16027.3503,15766.60677,1403.138414,11272.53668,4255.586118
2015-01-01 20:00:00,2357.526692,1845.278983,1334.47912,3849.241825,6907.380913,1252.603462,6418.298732,14751.08346,14511.10308,1291.405719,10374.89829,3916.711421
2015-01-01 21:00:00,2271.791529,1778.172514,1285.94869,3709.258097,6656.183153,1207.050569,6184.887213,14214.63713,13983.38401,1244.441721,9997.598815,3774.274056
2015-01-01 22:00:00,2205.757667,1726.486609,1248.570191,3601.441585,6462.708761,1171.96539,6005.111918,13801.46216,13576.93085,1208.269699,9706.999938,3664.567733
2015-01-01 23:00:00,2158.231865,1689.287301,1221.668188,3523.844032,6323.461637,1146.713934,5875.724289,13504.09244,13284.39893,1182.236021,9497.850513,3585.610049
2015-01-02 00:00:00,2106.117029,1648.496071,1192.168559,3438.753751,6170.768974,1119.024226,5733.843142,13178.00904,12963.62048,1153.688561,9268.505864,3499.028303
2015-01-02 01:00:00,2074.439409,1623.701423,1174.237428,3387.032251,6077.955864,1102.193241,5647.601733,12979.80165,12768.63766,1136.336198,9129.10041,3446.400227
2015-01-02 02:00:00,2046.063002,1601.490693,1158.174949,3340.70079,5994.815064,1087.11626,5570.347778,12802.25,12593.97454,1120.792173,9004.222782,3399.256668
