,BEL,DEU,DNK,GBR,NOR
2019-01-01 00:00:00,69.49,20.0025,28.32,60.0,48.77
2019-01-01 01:00:00,66.58,13.54,10.07,60.12,49.25
2019-01-01 02:00:00,65.07,5.5925,-4.08,55.76,49.17
2019-01-01 03:00:00,52.17,3.2,-9.91,46.23,48.37
2019-01-01 04:00:00,47.66,3.8975,-7.41,44.1,47.19
2019-01-01 05:00:00,50.87,-2.0025,-12.55,44.41,47.37
2019-01-01 06:00:00,52.88,-18.7625,-17.25,46.03,48.16
2019-01-01 07:00:00,61.78,-20.0,-15.07,51.0,49.09
2019-01-01 08:00:00,50.08,-18.0025,-4.93,39.0,47.63
2019-01-01 09:00:00,50.27,-11.31,-6.33,44.17,47.99
2019-01-01 10:00:00,66.36,-11.04,-4.93,51.3,49.2
2019-01-01 11:00:00,75.08,-10.0025,0.45,57.94,49.39
2019-01-01 12:00:00,90.66,-14.5475,0.12,54.09,49.2
2019-01-01 13:00:00,75.71,-15.2075,-0.02,57.95,49.13
2019-01-01 14:00:00,68.3,-5.61,0.0,65.85,48.33
2019-01-01 15:00:00,61.83,0.5,-0.03,70.0,48.45
2019-01-01 16:00:00,72.12,4.85,1.97,48.9,48.98
2019-01-01 17:00:00,62.58,7.845,9.06,69.93,49.45
2019-01-01 18:00:00,56.94,9.275,0.07,84.84,48.89
2019-01-01 19:00:00,57.89,8.0,-4.97,70.57,48.91
2019-01-01 20:00:00,51.3,-3.535,-6.98,69.0,49.31
2019-01-01 21:00:00,51.89,-7.565,-16.01,60.43,49.1
2019-01-01 22:00:00,60.88,-11.53,-4.87,53.89,49.42
2019-01-01 23:00:00,60.74,-18.8075,-28.93,50.44,49.12
2019-01-02 00:00:00,65.96,44.93,-33.57,49.01,49.16
2019-01-02 01:00:00,57.9,42.44,-45.92,51.96,48.14
2019-01-02 02:00:00,56.48,41.38,-48.29,52.45,48.14
2019-01-02 03:00:00,46.68,39.7725,-33.6,49.92,47.24
2019-01-02 04:00:00,50.8,39.49,-33.54,48.53,47.53
2019-01-02 05:00:00,45.28,42.49,-17.79,47.99,47.98
2019-01-02 06:00:00,55.3,46.535,-0.01,50.05,49.44
2019-01-02 07:00:00,56.86,53.4975,37.43,62.82,50.11
2019-01-02 08:00:00,55.99,58.75,48.06,50.04,50.74
2019-01-02 09:00:00,55.33,58.7525,50.74,53.0,50.74
2019-01-02 10:00:00,53.47,58.7175,48.11,56.37,50.69
2019-01-02 11:00:00,53.22,59.4925,48.66,58.71,50.27
2019-01-02 12:00:00,57.32,61.2325,49.94,57.95,49.94
2019-01-02 13:00:00,51.91,60.8375,47.26,63.44,50.11
2019-01-02 14:00:00,54.59,61.2275,49.64,62.94,50.93
2019-01-02 15:00:00,58.89,61.05,53.67,63.93,52.38
2019-01-02 16:00:00,66.57,61.8975,56.01,65.0,54.67
2019-01-02 17:00:00,74.33,65.8975,56.95,81.1,55.58
2019-01-02 18:00:00,74.45,68.2975,55.39,109.95,55.39
2019-01-02 19:00:00,74.33,65.455,54.9,85.0,54.9
2019-01-02 20:00:00,67.29,60.1075,53.86,79.94,53.86
2019-01-02 21:00:00,55.64,56.0775,52.71,66.0,52.71
2019-01-02 22:00:00,56.77,54.495,52.09,55.93,52.09
2019-01-02 23:00:00,57.28,50.9575,50.76,50.11,50.76
2019-01-03 00:00:00,50.12,37.5,42.91,55.0,50.03
2019-01-03 01:00:00,46.45,36.4975,45.22,54.99,48.89
2019-01-03 02:00:00,46.12,36.4775,48.31,55.0,48.31
2019-01-03 03:00:00,44.0,35.4975,48.4,54.92,48.4
2019-01-03 04:00:00,43.88,36.475,48.79,51.08,48.79
2019-01-03 05:00:00,45.92,38.8025,45.92,51.0,49.61
2019-01-03 06:00:00,52.96,45.535,51.07,51.91,51.17
2019-01-03 07:00:00,60.22,53.095,52.77,61.4,53.91
2019-01-03 08:00:00,65.65,54.5025,62.89,62.74,58.86
2019-01-03 09:00:00,75.58,52.4325,60.03,70.2,59.14
2019-01-03 10:00:00,77.03,50.975,58.19,74.0,58.19
2019-01-03 11:00:00,71.59,48.995,61.47,69.0,61.47
2019-01-03 12:00:00,69.83,47.0,62.0,70.0,62.0
2019-01-03 13:00:00,68.15,45.575,63.12,65.3,63.12
2019-01-03 14:00:00,68.25,44.925,63.67,64.92,63.67
2019-01-03 15:00:00,68.19,45.2,66.13,63.58,66.13
2019-01-03 16:00:00,69.4,46.0075,68.41,72.4,68.41
2019-01-03 17:00:00,72.32,49.0325,69.55,102.0,69.55
2019-01-03 18:00:00,77.92,52.8825,65.67,134.6,65.67
2019-01-03 19:00:00,71.34,52.0025,61.51,110.0,61.51
2019-01-03 20:00:00,68.38,50.3225,56.04,80.07,56.04
2019-01-03 21:00:00,61.72,46.4,54.44,69.94,54.44
2019-01-03 22:00:00,56.6,45.4975,52.09,63.3,52.09
2019-01-03 23:00:00,56.06,42.625,49.98,54.09,49.98
2019-01-04 00:00:00,53.44,31.94,49.87,57.47,49.98
2019-01-04 01:00:00,51.27,30.475,47.11,59.2,48.67
2019-01-04 02:00:00,50.0,29.8175,47.07,59.47,47.71
2019-01-04 03:00:00,47.87,31.3,46.94,51.1,47.64
2019-01-04 04:00:00,47.0,30.2225,47.0,51.02,47.43
2019-01-04 05:00:00,47.51,33.4825,46.91,50.33,48.58
2019-01-04 06:00:00,59.54,36.4925,49.59,55.5,50.87
2019-01-04 07:00:00,68.4,48.16,55.27,63.76,52.32
2019-01-04 08:00:00,74.19,51.255,54.44,65.07,54.44
2019-01-04 09:00:00,81.91,47.9425,54.18,74.0,54.18
2019-01-04 10:00:00,83.56,43.495,53.9,79.59,53.9
2019-01-04 11:00:00,82.33,40.7,53.01,77.0,53.01
2019-01-04 12:00:00,79.38,38.6525,51.74,64.94,51.74
2019-01-04 13:00:00,78.45,35.9975,51.6,65.0,51.6
2019-01-04 14:00:00,80.62,35.005,51.41,65.0,51.41
