,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2015-01-01 00:00:00,1639.816984,1283.514552,928.2191941,2677.404307,4804.54392,871.2692154,4464.354657,10260.36196,10093.43961,898.258772,7216.433428,2724.333909
2015-01-01 01:00:00,1632.759689,1277.990679,924.224409,2665.881538,4783.866562,867.5195263,4445.141375,10216.20435,10050.00038,894.3929278,7185.375999,2712.609169
2015-01-01 02:00:00,1696.135224,1327.595862,960.0981611,2769.357677,4969.552248,901.1922796,4617.679449,10612.74612,10440.09095,929.1087716,7464.276226,2817.89904
2015-01-01 03:00:00,1464.007265,1145.905091,828.702018,2390.351725,4289.434293,777.857818,3985.717745,9160.317641,9011.291538,801.953743,6442.73786,2432.249863
2015-01-01 04:00:00,1436.803392,1124.612125,813.3032525,2345.934715,4209.728933,763.4038287,3911.655982,8990.102558,8843.845626,787.0520083,6323.020269,2387.054311
2015-01-01 05:00:00,1445.336897,1131.291454,818.1336472,2359.86776,4234.731479,767.9378593,3934.888205,9043.496841,8896.371255,791.7264909,6360.574138,2401.231575
2015-01-01 06:00:00,1456.935844,1140.370161,824.6992368,2378.805892,4268.715546,774.1006236,3966.466005,9116.071644,8967.765364,798.0801609,6411.618267,2420.501655
2015-01-01 07:00:00,1533.108755,1199.992083,867.81695,2503.176894,4491.89661,814.5728917,4173.844569,9592.686809,9436.626638,839.8061501,6746.836616,2547.052634
2015-01-01 08:00:00,1525.504847,1194.040366,863.5127542,2490.761645,4469.617715,810.5327757,4153.143148,9545.109031,9389.822887,835.6408822,6713.373678,2534.419771
2015-01-01 09:00:00,1528.602317,1196.464812,865.2660784,2495.819026,4478.693074,812.1785263,4161.57592,9564.489949,9408.888504,837.3376138,6727.004883,2539.565797
2015-01-01 10:00:00,1553.520047,1215.968372,879.3707717,2536.503346,4551.700203,825.41784,4229.413726,9720.4006,9562.262697,850.9870455,6836.66172,2580.963233
2015-01-01 11:00:00,1631.436942,1276.955342,923.4756676,2663.721829,4779.991011,866.8167232,4441.540235,10207.9279,10041.85858,893.6683538,7179.554915,2710.411605
2015-01-01 12:00:00,1630.825126,1276.476462,923.1293489,2662.722889,4778.198435,866.4916526,4439.874583,10204.09976,10038.09272,893.3332133,7176.862463,2709.395155
2015-01-01 13:00:00,1641.39408,1284.748974,929.1119103,2679.979304,4809.164697,872.1071598,4468.648257,10270.22987,10103.14699,899.1226737,7223.373843,2726.954041
2015-01-01 14:00:00,1578.92346,1235.852085,893.7503859,2577.980662,4626.130347,838.915207,4298.573788,9879.350175,9718.626375,864.9025243,6948.455927,2623.167564
2015-01-01 15:00:00,1678.629,1313.893423,950.1887545,2740.774463,4918.260291,891.8908549,4570.019256,10503.20938,10332.33623,919.519214,7387.235616,2788.814819
2015-01-01 16:00:00,1651.298836,1292.501607,934.718502,2696.151252,4838.184907,877.3697645,4495.61367,10332.20409,10164.11297,904.5482997,7266.96225,2743.409452
2015-01-01 17:00:00,1789.451829,1400.636465,1012.920071,2921.719974,5242.963082,950.7733526,4871.731228,11196.62966,11014.47548,980.2257317,7874.93978,2972.931946
2015-01-01 18:00:00,2007.112357,1571.003316,1136.126918,3277.104289,5880.692523,1066.420964,5464.305767,12558.53518,12354.22463,1099.455793,8832.810523,3334.545446
2015-01-01 19:00:00,2039.55884,1596.399768,1154.493265,3330.081147,5975.758345,1083.660462,5552.640384,12761.55336,12553.93997,1117.229323,8975.599556,3388.450884
2015-01-01 20:00:00,1835.379525,1436.584907,1038.917465,2996.708226,5377.527874,975.1757022,4996.768061,11484.00001,11297.1707,1005.384,8077.056335,3049.234595
2015-01-01 21:00:00,1749.589715,1369.435664,990.3561018,2856.635274,5126.170001,929.593774,4763.207767,10947.21175,10769.11527,958.3900672,7699.516368,2906.706441
2015-01-01 22:00:00,1682.500554,1316.923758,952.3802496,2747.095727,4929.603662,893.947893,4580.559452,10527.43376,10356.16651,921.6399736,7404.273379,2795.246882
2015-01-01 23:00:00,1634.251334,1279.158217,925.0687553,2668.317015,4788.236973,868.3120687,4449.202335,10225.53759,10059.18179,895.210021,7191.940364,2715.087335
2015-01-02 00:00:00,1581.267474,1237.686787,895.0772159,2581.80784,4632.998136,840.1606307,4304.955298,9894.016707,9733.054302,866.1865278,6958.771357,2627.061825
2015-01-02 01:00:00,1549.869157,1213.110754,877.3041834,2530.54237,4541.003361,823.4780452,4219.474281,9697.556919,9539.790652,848.9871611,6820.595044,2574.897773
2015-01-02 02:00:00,1521.536182,1190.93402,861.2662896,2484.281824,4457.989817,808.4241407,4142.338572,9520.27703,9365.394869,833.4669275,6695.908555,2527.826372
2015-01-02 03:00:00,1506.605843,1179.247772,852.8149636,2459.904375,4414.245013,800.4913375,4101.691151,9426.857648,9273.495295,825.2883876,6630.203782,2503.021634
